review,sentiment
Estoy realmente contento con este producto.,positivo
"El producto llegó defectuoso, mala experiencia.",negativo
"Funciona perfecto, calidad increíble.",positivo
"Perdí mi dinero, no vale la pena comprarlo.",negativo
La mejor compra que he hecho en mucho tiempo.,positivo
"Es muy caro para lo que ofrece, no lo recomiendo.",negativo
"Buena calidad y precio razonable, me gusta mucho.",positivo
"La calidad es pésima, no lo volvería a comprar.",negativo
"Me encantó este producto, es exactamente lo que necesitaba.",positivo
"El producto se rompió al poco tiempo de uso, decepcionante.",negativo
"Es justo como se describe, totalmente satisfecho.",positivo
"Muy mala calidad, no lo recomiendo.",negativo
"Es justo como se describe, totalmente satisfecho.",positivo
"No cumple con lo que promete, muy decepcionado.",negativo
"Producto de excelente calidad, muy satisfecho con la compra.",positivo
"No cumple con lo que promete, muy decepcionado.",negativo
"Es justo como se describe, totalmente satisfecho.",positivo
"El producto llegó defectuoso, mala experiencia.",negativo
"Funciona muy bien, lo recomiendo a todos.",positivo
"Muy mala calidad, no lo recomiendo.",negativo
Estoy realmente contento con este producto.,positivo
"Es muy caro para lo que ofrece, no lo recomiendo.",negativo
"Producto de excelente calidad, muy satisfecho con la compra.",positivo
"Tuve muchos problemas con este producto, no lo recomiendo.",negativo
"Es justo como se describe, totalmente satisfecho.",positivo
"No cumple con lo que promete, muy decepcionado.",negativo
"Buena calidad y precio razonable, me gusta mucho.",positivo
"No funcionó como esperaba, es una pérdida de dinero.",negativo
La mejor compra que he hecho en mucho tiempo.,positivo
"No cumple con lo que promete, muy decepcionado.",negativo
"Funciona muy bien, lo recomiendo a todos.",positivo
"El producto se rompió al poco tiempo de uso, decepcionante.",negativo
"Buena calidad y precio razonable, me gusta mucho.",positivo
"No funcionó como esperaba, es una pérdida de dinero.",negativo
"Es justo como se describe, totalmente satisfecho.",positivo
"El producto llegó defectuoso, mala experiencia.",negativo
"Producto de excelente calidad, muy satisfecho con la compra.",positivo
"No cumple con lo que promete, muy decepcionado.",negativo
"Producto de excelente calidad, muy satisfecho con la compra.",positivo
"La calidad es pésima, no lo volvería a comprar.",negativo
"Me encantó este producto, es exactamente lo que necesitaba.",positivo
"El producto llegó defectuoso, mala experiencia.",negativo
"Producto de excelente calidad, muy satisfecho con la compra.",positivo
"No cumple con lo que promete, muy decepcionado.",negativo
"Superó mis expectativas, sin duda lo volvería a comprar.",positivo
"Perdí mi dinero, no vale la pena comprarlo.",negativo
"Buena calidad y precio razonable, me gusta mucho.",positivo
"El producto llegó defectuoso, mala experiencia.",negativo
"Me encantó este producto, es exactamente lo que necesitaba.",positivo
"Tuve muchos problemas con este producto, no lo recomiendo.",negativo
"Me encantó este producto, es exactamente lo que necesitaba.",positivo
"Perdí mi dinero, no vale la pena comprarlo.",negativo
